Date,"Item Code",Quantity,UoM,Division,"Req. No."
01/Sep/2021,"1439101                       ",60,"REAM           ",26,RQN2109002351
01/Sep/2021,"BIO-000001                    ",70,,26,RQN2109002351
01/Sep/2021,"1146100                       ",15,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1113103                       ",1000,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1455100                       ",6,"BUNDLE         ",26,RQN2109002351
01/Sep/2021,"1106101                       ",40,"BOOKLET        ",26,RQN2109002351
01/Sep/2021,"1459100                       ",5,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1467100                       ",100,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1408100                       ",50,"BOX            ",26,RQN2109002351
01/Sep/2021,"1457100                       ",12,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1460100                       ",24,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1242101                       ",3,"BOX            ",26,RQN2109002351
01/Sep/2021,"1242102                       ",3,"BOX            ",26,RQN2109002351
01/Sep/2021,"1225100                       ",500,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1225103                       ",500,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1225101                       ",500,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1150100                       ",10000,"SHEET          ",26,RQN2109002351
01/Sep/2021,"1428100                       ",144,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1443100                       ",12,"DOZEN          ",26,RQN2109002351
01/Sep/2021,"1034100                       ",50,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1101139                       ",1000,"SHEET          ",26,RQN2109002351
01/Sep/2021,"1101138                       ",1000,"SHEET          ",26,RQN2109002351
01/Sep/2021,"1306100                       ",6,"BOOKLET        ",26,RQN2109002351
01/Sep/2021,"1152104                       ",6,"BOOKLET        ",26,RQN2109002351
01/Sep/2021,"1101151                       ",2000,"SHEET          ",26,RQN2109002351
01/Sep/2021,"1166100                       ",1000,"SHEET          ",26,RQN2109002351
01/Sep/2021,"1432100                       ",6,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1412100                       ",2,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1426100                       ",10,"PIECE          ",26,RQN2109002351
01/Sep/2021,"1201100                       ",1,"BOOKLET        ",26,RQN2109002351
01/Sep/2021,"1407100                       ",6,"BOOKLET        ",26,RQN2109002351
01/Sep/2021,null,1,,26,RQN2109002351
