Date,"Item Code",Quantity,UoM,Division,"Req. No."
25/Oct/2021,"1439101                       ",100,"REAM           ",43,RQN2110003692
25/Oct/2021,"1455100                       ",10,"BUNDLE         ",43,RQN2110003692
25/Oct/2021,"1408100                       ",100,"BOX            ",43,RQN2110003692
25/Oct/2021,"1152101                       ",3,"BOOKLET        ",43,RQN2110003692
25/Oct/2021,"1034100                       ",200,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1150100                       ",5000,"SHEET          ",43,RQN2110003692
25/Oct/2021,"1113103                       ",1000,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1101159                       ",5,"PAD            ",43,RQN2110003692
25/Oct/2021,"1101160                       ",5,"PAD            ",43,RQN2110003692
25/Oct/2021,"1428100                       ",144,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1106101                       ",50,"BOOKLET        ",43,RQN2110003692
25/Oct/2021,"1166100                       ",500,"SHEET          ",43,RQN2110003692
25/Oct/2021,"1426100                       ",10,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1101106                       ",5,"BOOKLET        ",43,RQN2110003692
25/Oct/2021,"1146100                       ",10,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1457100                       ",24,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1467100                       ",40,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1456100                       ",12,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1306100                       ",5,"BOOKLET        ",43,RQN2110003692
25/Oct/2021,"1101124                       ",10,"BOOKLET        ",43,RQN2110003692
25/Oct/2021,"1101123                       ",10,"BOOKLET        ",43,RQN2110003692
25/Oct/2021,"1242100                       ",5,"BOX            ",43,RQN2110003692
25/Oct/2021,"1242102                       ",5,"BOX            ",43,RQN2110003692
25/Oct/2021,"BIO-000001                    ",100,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1162100                       ",20,"BOOKLET        ",43,RQN2110003692
25/Oct/2021,"1433100                       ",10,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1433101                       ",10,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1432100                       ",10,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1225100                       ",1000,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1225102                       ",1000,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1225101                       ",1000,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1225103                       ",1000,"PIECE          ",43,RQN2110003692
25/Oct/2021,"1407100                       ",10,"BOOKLET        ",43,RQN2110003692
25/Oct/2021,"1571009                       ",5,"ROLL           ",43,RQN2110003692
25/Oct/2021,"1101121                       ",5,"ROLL           ",43,RQN2110003692
25/Oct/2021,"1101122                       ",5,"ROLL           ",43,RQN2110003692
25/Oct/2021,"1571008                       ",5,"ROLL           ",43,RQN2110003692
25/Oct/2021,"1414100                       ",12,"DOZEN          ",43,RQN2110003692
25/Oct/2021,"1101138                       ",1000,"SHEET          ",43,RQN2110003692
