Date,"Item Code",Quantity,UoM,Division,"Req. No."
19/Oct/2021,"1034100                       ",50,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1034101                       ",50,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1049100                       ",20,"EACH           ",75,RQN2110003649
19/Oct/2021,"1049101                       ",20,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1225101                       ",2000,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1225103                       ",2000,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1225102                       ",1000,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1467100                       ",60,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1242100                       ",4,"BOX            ",75,RQN2110003649
19/Oct/2021,"1242102                       ",4,"BOX            ",75,RQN2110003649
19/Oct/2021,"1433100                       ",20,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1439101                       ",60,"REAM           ",75,RQN2110003649
19/Oct/2021,"1150100                       ",3000,"SHEET          ",75,RQN2110003649
19/Oct/2021,"1101151                       ",2000,"SHEET          ",75,RQN2110003649
19/Oct/2021,"1101160                       ",2000,"PAD            ",75,RQN2110003649
19/Oct/2021,"1113103                       ",2000,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1101125                       ",60,"BOOKLET        ",75,RQN2110003649
19/Oct/2021,"1101123                       ",60,"BOOKLET        ",75,RQN2110003649
19/Oct/2021,"1432100                       ",24,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1443100                       ",24,"DOZEN          ",75,RQN2110003649
19/Oct/2021,"1146100                       ",10,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1460100                       ",12,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1407100                       ",5,"BOOKLET        ",75,RQN2110003649
19/Oct/2021,"1428100                       ",144,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1408100                       ",50,"BOX            ",75,RQN2110003649
19/Oct/2021,"1025100                       ",1000,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1455100                       ",10,"BUNDLE         ",75,RQN2110003649
19/Oct/2021,"1456100                       ",5,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1239100                       ",500,"PAD            ",75,RQN2110003649
19/Oct/2021,"1457100                       ",24,"PIECE          ",75,RQN2110003649
19/Oct/2021,"1242101                       ",4,"BOX            ",75,RQN2110003649
