Date,"Item Code",Quantity,UoM,Division,"Req. No."
29/Nov/2021,"1139100                       ",7000,"SHEET          ",47,RQN2111003908
29/Nov/2021,"1457100                       ",30,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1460100                       ",30,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1242100                       ",5,"BOX            ",47,RQN2111003908
29/Nov/2021,"1242101                       ",3,"BOX            ",47,RQN2111003908
29/Nov/2021,"1242102                       ",5,"BOX            ",47,RQN2111003908
29/Nov/2021,"1101148                       ",5000,"SHEET          ",47,RQN2111003908
29/Nov/2021,"1467100                       ",20,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1433100                       ",10,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1433101                       ",10,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1146100                       ",1000,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1049103                       ",6,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1113103                       ",1000,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1101127                       ",1,"BOOKLET        ",47,RQN2111003908
29/Nov/2021,"1225103                       ",5000,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1225100                       ",5000,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1225102                       ",5000,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1428100                       ",1000,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1408100                       ",150,"BOX            ",47,RQN2111003908
29/Nov/2021,"1443100                       ",4,"DOZEN          ",47,RQN2111003908
29/Nov/2021,"1002102                       ",5,"EACH           ",47,RQN2111003908
29/Nov/2021,"1439101                       ",50,"REAM           ",47,RQN2111003908
29/Nov/2021,"1034100                       ",50,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1455100                       ",5,"BUNDLE         ",47,RQN2111003908
29/Nov/2021,"1422100                       ",1,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1459100                       ",10,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1447100                       ",10,"PIECE          ",47,RQN2111003908
29/Nov/2021,"1225101                       ",1000,"PIECE          ",47,RQN2111003908
