Date,"Item Code",Quantity,UoM,Division,"Req. No."
28/Jul/2021,"1457100                       ",24,"PIECE          ",48,RQN210700008
28/Jul/2021,"1101165                       ",5,"BOOKLET        ",48,RQN210700008
28/Jul/2021,"1101164                       ",5,"BOOKLET        ",48,RQN210700008
28/Jul/2021,"1166100                       ",1000,"SHEET          ",48,RQN210700008
28/Jul/2021,"1113103                       ",1000,"PIECE          ",48,RQN210700008
28/Jul/2021,"1101160                       ",5,"PAD            ",48,RQN210700008
28/Jul/2021,"1101159                       ",5,"PAD            ",48,RQN210700008
28/Jul/2021,"1571014                       ",1000,"PIECE          ",48,RQN210700008
28/Jul/2021,"1460100                       ",12,"PIECE          ",48,RQN210700008
28/Jul/2021,"1459100                       ",5,"PIECE          ",48,RQN210700008
28/Jul/2021,"1467100                       ",20,"PIECE          ",48,RQN210700008
28/Jul/2021,"1101156                       ",5,"BOOKLET        ",48,RQN210700008
28/Jul/2021,"1455100                       ",5,"BUNDLE         ",48,RQN210700008
28/Jul/2021,"1306100                       ",5,"BOOKLET        ",48,RQN210700008
28/Jul/2021,"1101156                       ",5,"BOOKLET        ",48,RQN210700008
28/Jul/2021,"1439101                       ",50,"REAM           ",48,RQN210700008
28/Jul/2021,"1447100                       ",5,"PIECE          ",48,RQN210700008
28/Jul/2021,"1106101                       ",12,"BOOKLET        ",48,RQN210700008
28/Jul/2021,"1101148                       ",1000,"SHEET          ",48,RQN210700008
28/Jul/2021,"1101147                       ",1000,"SHEET          ",48,RQN210700008
28/Jul/2021,"1443100                       ",2,"DOZEN          ",48,RQN210700008
28/Jul/2021,"1433100                       ",5,"PIECE          ",48,RQN210700008
28/Jul/2021,"1433101                       ",5,"PIECE          ",48,RQN210700008
28/Jul/2021,"1432100                       ",12,"PIECE          ",48,RQN210700008
28/Jul/2021,"1225100                       ",1000,"PIECE          ",48,RQN210700008
28/Jul/2021,"1225101                       ",1000,"PIECE          ",48,RQN210700008
28/Jul/2021,"1225103                       ",1000,"PIECE          ",48,RQN210700008
28/Jul/2021,"1101124                       ",5,"BOOKLET        ",48,RQN210700008
28/Jul/2021,"1101123                       ",5,"BOOKLET        ",48,RQN210700008
28/Jul/2021,"1242102                       ",2,"BOX            ",48,RQN210700008
28/Jul/2021,"1242100                       ",2,"BOX            ",48,RQN210700008
28/Jul/2021,"1242101                       ",2,"BOX            ",48,RQN210700008
28/Jul/2021,"1101117                       ",1000,"SHEET          ",48,RQN210700008
28/Jul/2021,"1034100                       ",100,"PIECE          ",48,RQN210700008
28/Jul/2021,"1101115                       ",10,"BOOKLET        ",48,RQN210700008
28/Jul/2021,"1101107                       ",1000,"SHEET          ",48,RQN210700008
28/Jul/2021,"1101108                       ",1000,"SHEET          ",48,RQN210700008
28/Jul/2021,"1101109                       ",1000,"SHEET          ",48,RQN210700008
28/Jul/2021,"1101111                       ",100,"SHEET          ",48,RQN210700008
28/Jul/2021,"1571012                       ",10,"BOOK           ",48,RQN210700008
28/Jul/2021,"1571010                       ",50,"PIECE          ",48,RQN210700008
28/Jul/2021,"1571022                       ",1,"PIECE          ",48,RQN210700008
28/Jul/2021,"1049100                       ",1,"BOX            ",48,RQN210700008
28/Jul/2021,"1571004                       ",5,"EACH           ",48,RQN210700008
28/Jul/2021,"1456100                       ",500,"ROLL           ",48,RQN210700008
28/Jul/2021,"BIO-000001                    ",1000,"PIECE          ",48,RQN210700008
