Date,"Item Code",Quantity,UoM,Division,"Req. No."
13/Sep/2021,"1439101                       ",60,"REAM           ",31,RQN2109002444
13/Sep/2021,"1408100                       ",50,"BOX            ",31,RQN2109002444
13/Sep/2021,"1428100                       ",72,"PIECE          ",31,RQN2109002444
13/Sep/2021,"1150100                       ",5000,"SHEET          ",31,RQN2109002444
13/Sep/2021,"1113103                       ",5000,"PIECE          ",31,RQN2109002444
13/Sep/2021,"1242102                       ",2,"BOX            ",31,RQN2109002444
13/Sep/2021,"1242100                       ",2,"BOX            ",31,RQN2109002444
13/Sep/2021,"1467100                       ",40,"PIECE          ",31,RQN2109002444
13/Sep/2021,"1002102                       ",3,"EACH           ",31,RQN2109002444
13/Sep/2021,"1162100                       ",20,"BOOKLET        ",31,RQN2109002444
13/Sep/2021,"1443100                       ",24,"DOZEN          ",31,RQN2109002444
13/Sep/2021,"1455100                       ",10,"BUNDLE         ",31,RQN2109002444
13/Sep/2021,"1034100                       ",150,"PIECE          ",31,RQN2109002444
13/Sep/2021,"BIO-000001                    ",70,"PIECE          ",31,RQN2109002444
13/Sep/2021,"1049103                       ",8,"PIECE          ",31,RQN2109002444
13/Sep/2021,"1101160                       ",3000,"PAD            ",31,RQN2109002444
13/Sep/2021,"1225100                       ",1000,"PIECE          ",31,RQN2109002444
13/Sep/2021,"1225103                       ",500,"PIECE          ",31,RQN2109002444
13/Sep/2021,"1457101                       ",5,"ROLL           ",31,RQN2109002444
13/Sep/2021,"1101121                       ",8,"ROLL           ",31,RQN2109002444
13/Sep/2021,"1571009                       ",8,"ROLL           ",31,RQN2109002444
13/Sep/2021,"1101122                       ",5,"ROLL           ",31,RQN2109002444
13/Sep/2021,"1426100                       ",12,"PIECE          ",31,RQN2109002444
13/Sep/2021,"1101164                       ",5,"BOOKLET        ",31,RQN2109002444
13/Sep/2021,"1407100                       ",5,"BOOKLET        ",31,RQN2109002444
