Date,"Item Code",Quantity,UoM,Division,"Req. No."
10/Aug/2021,"1439101                       ",60,"REAM           ",82,RQN210800044
10/Aug/2021,"1423100                       ",12,"PIECE          ",82,RQN210800044
10/Aug/2021,"1101129                       ",500,"SHEET          ",82,RQN210800044
10/Aug/2021,"1457100                       ",12,"PIECE          ",82,RQN210800044
10/Aug/2021,"1113103                       ",5000,"PIECE          ",82,RQN210800044
10/Aug/2021,"1101160                       ",2000,"PAD            ",82,RQN210800044
10/Aug/2021,"1150101                       ",5000,"BOOKLET        ",82,RQN210800044
10/Aug/2021,"1459100                       ",3,"PIECE          ",82,RQN210800044
10/Aug/2021,"1101123                       ",40,"BOOKLET        ",82,RQN210800044
10/Aug/2021,"1101124                       ",30,"BOOKLET        ",82,RQN210800044
10/Aug/2021,"1239100                       ",500,"PAD            ",82,RQN210800044
10/Aug/2021,"1408100                       ",50,"BOX            ",82,RQN210800044
10/Aug/2021,"1225103                       ",1000,"PIECE          ",82,RQN210800044
10/Aug/2021,"1406102                       ",1,"BOOKLET        ",82,RQN210800044
10/Aug/2021,"1152101                       ",1,"BOOKLET        ",82,RQN210800044
10/Aug/2021,"1455100                       ",4,"BUNDLE         ",82,RQN210800044
10/Aug/2021,"1467100                       ",40,"PIECE          ",82,RQN210800044
10/Aug/2021,"1106101                       ",60,"BOOKLET        ",82,RQN210800044
10/Aug/2021,"1306100                       ",30,"BOOKLET        ",82,RQN210800044
10/Aug/2021,"1101106                       ",30,"BOOKLET        ",82,RQN210800044
10/Aug/2021,"1571010                       ",30,"PIECE          ",82,RQN210800044
10/Aug/2021,"1152102                       ",1,"BOOKLET        ",82,RQN210800044
10/Aug/2021,"1537100                       ",3,"PIECE          ",82,RQN210800044
