Date,"Item Code",Quantity,UoM,Price,Division,"Req. No."
04/May/2021,"1.AU00001                     ",1,"EACH           ",1000,30,RQN210500003
04/May/2021,"1101127                       ",1,"BOOKLET        ",11807.00000,30,RQN210500003
