Date,"Item Code",Quantity,UoM,Division,"Req. No."
16/Dec/2021,"1439101                       ",30,"REAM           ",16,RQN2112004046
16/Dec/2021,"1150100                       ",10000,"SHEET          ",16,RQN2112004046
16/Dec/2021,"1467100                       ",40,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1101123                       ",30,"BOOKLET        ",16,RQN2112004046
16/Dec/2021,"1034102                       ",50,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1034100                       ",50,"PIECE          ",16,RQN2112004046
16/Dec/2021,"BIO-000001                    ",70,PIECE,16,RQN2112004046
16/Dec/2021,"1571004                       ",50,"ROLL           ",16,RQN2112004046
16/Dec/2021,"1242102                       ",5,"BOX            ",16,RQN2112004046
16/Dec/2021,"1242100                       ",3,"BOX            ",16,RQN2112004046
16/Dec/2021,"1225102                       ",500,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1225101                       ",1000,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1225103                       ",1000,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1225100                       ",1000,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1162100                       ",30,"BOOKLET        ",16,RQN2112004046
16/Dec/2021,"1166100                       ",500,"SHEET          ",16,RQN2112004046
16/Dec/2021,"1101151                       ",2000,"SHEET          ",16,RQN2112004046
16/Dec/2021,"1101138                       ",1000,"SHEET          ",16,RQN2112004046
16/Dec/2021,"1101139                       ",1000,"SHEET          ",16,RQN2112004046
16/Dec/2021,"1457100                       ",24,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1443100                       ",24,"DOZEN          ",16,RQN2112004046
16/Dec/2021,"1408100                       ",100,"BOX            ",16,RQN2112004046
16/Dec/2021,"1455100                       ",10,"BUNDLE         ",16,RQN2112004046
16/Dec/2021,"1571014                       ",10000,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1428100                       ",72,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1101164                       ",5,"BOOKLET        ",16,RQN2112004046
16/Dec/2021,"1301100                       ",5,"BOOKLET        ",16,RQN2112004046
16/Dec/2021,"1152101                       ",2,"BOOKLET        ",16,RQN2112004046
16/Dec/2021,"1407100                       ",5,"BOOKLET        ",16,RQN2112004046
16/Dec/2021,"1101160                       ",5,"PAD            ",16,RQN2112004046
16/Dec/2021,"1113103                       ",1000,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1433100                       ",1,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1460100                       ",10,"PIECE          ",16,RQN2112004046
16/Dec/2021,"1426100                       ",20,"PIECE          ",16,RQN2112004046
