Date,"Item Code",Quantity,UoM,Division,"Req. No."
04/Oct/2021,"1101151                       ",2000,"SHEET          ",34,RQN2110003558
04/Oct/2021,"1113103                       ",2000,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1439101                       ",80,"REAM           ",34,RQN2110003558
04/Oct/2021,"1106101                       ",40,"BOOKLET        ",34,RQN2110003558
04/Oct/2021,"1428100                       ",218,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1225103                       ",2000,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1225101                       ",2000,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1162100                       ",20,"BOOKLET        ",34,RQN2110003558
04/Oct/2021,"1571014                       ",200,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1540101                       ",5,"PIECE          ",34,RQN2110003558
04/Oct/2021,"BIO-000001                    ",72,rolls,34,RQN2110003558
04/Oct/2021,"1034100                       ",100,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1510101                       ",42,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1242100                       ",2,"BOX            ",34,RQN2110003558
04/Oct/2021,"1443100                       ",2,"DOZEN          ",34,RQN2110003558
04/Oct/2021,"1242102                       ",4,"BOX            ",34,RQN2110003558
04/Oct/2021,"1457100                       ",24,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1414100                       ",12,"DOZEN          ",34,RQN2110003558
04/Oct/2021,"1510100                       ",5,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1447100                       ",5,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1459100                       ",5,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1467100                       ",24,"PIECE          ",34,RQN2110003558
04/Oct/2021,"1455100                       ",10,"BUNDLE         ",34,RQN2110003558
04/Oct/2021,"1407100                       ",12,"BOOKLET        ",34,RQN2110003558
04/Oct/2021,"1571025                       ",40,"LITRES         ",34,RQN2110003558
04/Oct/2021,"1571004                       ",100,"ROLL           ",34,RQN2110003558
