Date,"Item Code",Quantity,UoM,Division,"Req. No."
12/Jan/2022,"1439101                       ",100,"REAM           ",824,RQN2201004202
12/Jan/2022,"1242102                       ",12,"BOX            ",824,RQN2201004202
12/Jan/2022,"1242100                       ",6,"BOX            ",824,RQN2201004202
12/Jan/2022,"1106100                       ",40,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1150100                       ",20000,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1225103                       ",2000,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1225102                       ",500,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1225101                       ",500,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1025100                       ",500,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1034101                       ",100,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1162100                       ",200,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1101125                       ",200,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1101123                       ",200,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1101124                       ",200,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1106101                       ",60,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1306100                       ",12,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1101159                       ",10000,"PAD            ",824,RQN2201004202
12/Jan/2022,"1101160                       ",10000,"PAD            ",824,RQN2201004202
12/Jan/2022,"1152101                       ",3,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1426100                       ",100,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1166100                       ",5000,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1113103                       ",2000,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1101164                       ",200,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1101165                       ",100,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1467100                       ",60,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1467101                       ",20,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1447100                       ",12,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1459100                       ",25,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1408100                       ",100,"BOX            ",824,RQN2201004202
12/Jan/2022,"1428100                       ",144,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1457100                       ",36,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1443100                       ",24,"DOZEN          ",824,RQN2201004202
12/Jan/2022,"1407100                       ",48,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1407101                       ",12,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"1412100                       ",2,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1453100                       ",20,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1456100                       ",12,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1433100                       ",20,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1433101                       ",15,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1455100                       ",10,"BUNDLE         ",824,RQN2201004202
12/Jan/2022,"1239100                       ",500,"PAD            ",824,RQN2201004202
12/Jan/2022,"1414100                       ",12,"DOZEN          ",824,RQN2201004202
12/Jan/2022,"1004101                       ",100,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1004102                       ",500,"PIECE          ",824,RQN2201004202
12/Jan/2022,"1571005                       ",5000,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1101149                       ",2000,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1101147                       ",5000,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1101109                       ",1000,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1101110                       ",500,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1101107                       ",1000,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1101108                       ",1000,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1101111                       ",1000,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1101139                       ",2000,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1101136                       ",500,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1101120                       ",500,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1101138                       ",2000,"SHEET          ",824,RQN2201004202
12/Jan/2022,"1152102                       ",3,"BOOKLET        ",824,RQN2201004202
12/Jan/2022,"BIO-000001                    ",100,rolls,824,RQN2201004202
12/Jan/2022,"1152104                       ",3,"BOOKLET        ",824,RQN2201004202
