Date,"Item Code",Quantity,UoM,Division,"Req. No."
29/Jan/2022,"1225102                       ",1000,"PIECE          ",42,RQN2201004310
29/Jan/2022,"1225101                       ",1000,"PIECE          ",42,RQN2201004310
29/Jan/2022,"1225100                       ",1000,"PIECE          ",42,RQN2201004310
29/Jan/2022,"1225103                       ",1000,"PIECE          ",42,RQN2201004310
29/Jan/2022,"1101159                       ",10,"PAD            ",42,RQN2201004310
29/Jan/2022,"1101160                       ",10,"PAD            ",42,RQN2201004310
29/Jan/2022,"1428100                       ",74,"PIECE          ",42,RQN2201004310
29/Jan/2022,"1408100                       ",150,"BOX            ",42,RQN2201004310
29/Jan/2022,"1034100                       ",70,"PIECE          ",42,RQN2201004310
29/Jan/2022,"1034101                       ",70,"PIECE          ",42,RQN2201004310
29/Jan/2022,"BIO-000001                    ",140,PIECES,42,RQN2201004310
29/Jan/2022,"1571014                       ",5000,"PIECE          ",42,RQN2201004310
29/Jan/2022,"1460100                       ",12,"PIECE          ",42,RQN2201004310
29/Jan/2022,"1443100                       ",2,"DOZEN          ",42,RQN2201004310
29/Jan/2022,"1510101                       ",24,"PIECE          ",42,RQN2201004310
29/Jan/2022,"1426100                       ",24,"PIECE          ",42,RQN2201004310
29/Jan/2022,"1432100                       ",24,"PIECE          ",42,RQN2201004310
29/Jan/2022,"1407100                       ",24,"BOOKLET        ",42,RQN2201004310
29/Jan/2022,"1106101                       ",50,"BOOKLET        ",42,RQN2201004310
29/Jan/2022,"1162100                       ",20,"BOOKLET        ",42,RQN2201004310
29/Jan/2022,"1101125                       ",20,"BOOKLET        ",42,RQN2201004310
