Date,"Item Code",Quantity,UoM,Division,"Req. No."
06/Sep/2021,"1034100                       ",100,"PIECE          ",95,RQN2109002410
06/Sep/2021,"1225103                       ",2000,"PIECE          ",95,RQN2109002410
06/Sep/2021,"BIO-000001                    ",100,"PIECE          ",95,RQN2109002410
06/Sep/2021,"1242102                       ",5,"BOX            ",95,RQN2109002410
06/Sep/2021,"1242100                       ",3,"BOX            ",95,RQN2109002410
06/Sep/2021,"1428100                       ",288,"PIECE          ",95,RQN2109002410
06/Sep/2021,"1467100                       ",12,"BOXES     ",95,RQN2109002410
06/Sep/2021,"1150100                       ",3000,"SHEET          ",95,RQN2109002410
06/Sep/2021,"1166100                       ",500,"SHEET          ",95,RQN2109002410
06/Sep/2021,"1101117                       ",3000,"SHEET          ",95,RQN2109002410
06/Sep/2021,"1443100                       ",2,"DOZEN          ",95,RQN2109002410
06/Sep/2021,"1225102                       ",1000,"PIECE          ",95,RQN2109002410
06/Sep/2021,"1457100                       ",24,"PIECE          ",95,RQN2109002410
06/Sep/2021,"1414100                       ",1,"DOZEN          ",95,RQN2109002410
06/Sep/2021,"1408100                       ",2,"BOXES            ",95,RQN2109002410
06/Sep/2021,"1439101                       ",120,"REAM           ",95,RQN2109002410
06/Sep/2021,"1571004                       ",2,"BOXES        ",95,RQN2109002410
06/Sep/2021,"1455100                       ",5,"BUNDLE         ",95,RQN2109002410
06/Sep/2021,"1433100                       ",12,"PIECE          ",95,RQN2109002410
06/Sep/2021,"1225102                       ",1000,"PIECE          ",95,RQN2109002410
06/Sep/2021,"1146100                       ",5,"PIECE          ",95,RQN2109002410
06/Sep/2021,"1101159                       ",2000,"PIECE          ",95,RQN2109002410
