Date,"Item Code",Quantity,UoM,Division,"Req. No."
13/Aug/2021,"1101125                       ",10,"BOOKLET        ",88,RQN2108002226
13/Aug/2021,"1101148                       ",1000,"SHEET          ",88,RQN2108002226
13/Aug/2021,"1101147                       ",1000,"SHEET          ",88,RQN2108002226
13/Aug/2021,"1152101                       ",2,"BOOKLET        ",88,RQN2108002226
13/Aug/2021,"1162100                       ",10,"BOOKLET        ",88,RQN2108002226
13/Aug/2021,"1407100                       ",10,"BOOKLET        ",88,RQN2108002226
13/Aug/2021,"1049100                       ",5,"EACH           ",88,RQN2108002226
13/Aug/2021,"1034100                       ",5,"PIECE          ",88,RQN2108002226
13/Aug/2021,"1306100                       ",10,"BOOKLET        ",88,RQN2108002226
13/Aug/2021,"1101124                       ",10,"BOOKLET        ",88,RQN2108002226
13/Aug/2021,"1306100                       ",3,"BOOKLET        ",88,RQN2108002226
13/Aug/2021,"1432100                       ",12,"PIECE          ",88,RQN2108002226
13/Aug/2021,"1439101                       ",60,"REAM           ",88,RQN2108002226
13/Aug/2021,"1002102                       ",02,"EACH           ",88,RQN2108002226
13/Aug/2021,"1428100                       ",144,"PIECE          ",88,RQN2108002226
13/Aug/2021,"1408100                       ",60,"BOX            ",88,RQN2108002226
13/Aug/2021,"1225103                       ",500,"PIECE          ",88,RQN2108002226
13/Aug/2021,"1225102                       ",500,"PIECE          ",88,RQN2108002226
13/Aug/2021,"1225101                       ",500,"PIECE          ",88,RQN2108002226
13/Aug/2021,"1150100                       ",10000,"SHEET          ",88,RQN2108002226
13/Aug/2021,"1101160                       ",1000,"PAD            ",88,RQN2108002226
13/Aug/2021,"1101159                       ",1,"PAD            ",88,RQN2108002226
13/Aug/2021,"1101149                       ",1000,"SHEET          ",88,RQN2108002226
13/Aug/2021,"1113103                       ",500,"PIECE          ",88,RQN2108002226
13/Aug/2021,"1456100                       ",5,"PIECE          ",88,RQN2108002226
13/Aug/2021,"1467100                       ",12,"PIECE          ",88,RQN2108002226
13/Aug/2021,"1460100                       ",1,"PIECE          ",88,RQN2108002226
