Date,"Item Code",Quantity,UoM,Division,"Req. No."
29/Jul/2021,"1101117                       ",5000,"SHEET          ",89,RQN210700012
29/Jul/2021,"1455100                       ",6,"BUNDLE         ",89,RQN210700012
29/Jul/2021,"1439101                       ",50,"REAM           ",89,RQN210700012
29/Jul/2021,"1242102                       ",4,"BOX            ",89,RQN210700012
29/Jul/2021,"1225103                       ",500,"PIECE          ",89,RQN210700012
29/Jul/2021,"1150100                       ",7000,"SHEET          ",89,RQN210700012
29/Jul/2021,"1457100                       ",20,"PIECE          ",89,RQN210700012
29/Jul/2021,"1242100                       ",3,"BOX            ",89,RQN210700012
29/Jul/2021,"1152101                       ",1,"BOOKLET        ",89,RQN210700012
29/Jul/2021,"1113103                       ",2000,"PIECE          ",89,RQN210700012
29/Jul/2021,"1101139                       ",500,"SHEET          ",89,RQN210700012
29/Jul/2021,"1571010                       ",50,"PIECE          ",89,RQN210700012
29/Jul/2021,"1467100                       ",20,"PIECE          ",89,RQN210700012
29/Jul/2021,"1459100                       ",5,"PIECE          ",89,RQN210700012
29/Jul/2021,"1106101                       ",20,"BOOKLET        ",89,RQN210700012
29/Jul/2021,"1101123                       ",40,"BOOKLET        ",89,RQN210700012
29/Jul/2021,"1166100                       ",1000,"SHEET          ",89,RQN210700012
29/Jul/2021,"1433100                       ",10,"PIECE          ",89,RQN210700012
29/Jul/2021,"1414100                       ",3,"DOZEN          ",89,RQN210700012
29/Jul/2021,"1571012                       ",20,"BOOK           ",89,RQN210700012
29/Jul/2021,"1571014                       ",500,"PIECE          ",89,RQN210700012
