Date,"Item Code",Quantity,UoM,Division,"Req. No."
24/Jan/2022,"1439101                       ",100,"REAM           ",70,RQN2201004271
24/Jan/2022,"1455100                       ",10,"BUNDLE         ",70,RQN2201004271
24/Jan/2022,"BIO-000001                    ",210,PIECE,70,RQN2201004271
24/Jan/2022,"1225103                       ",10000,"PIECE          ",70,RQN2201004271
24/Jan/2022,"1225100                       ",10000,"PIECE          ",70,RQN2201004271
24/Jan/2022,"1225102                       ",10000,"PIECE          ",70,RQN2201004271
24/Jan/2022,"1225101                       ",10000,"PIECE          ",70,RQN2201004271
24/Jan/2022,"1459100                       ",12,"PIECE          ",70,RQN2201004271
24/Jan/2022,"1447100                       ",12,"PIECE          ",70,RQN2201004271
24/Jan/2022,"1034100                       ",200,"PIECE          ",70,RQN2201004271
24/Jan/2022,"1150100                       ",10000,"SHEET          ",70,RQN2201004271
24/Jan/2022,"1106101                       ",100,"BOOKLET        ",70,RQN2201004271
24/Jan/2022,"1467100                       ",500,"PIECE          ",70,RQN2201004271
24/Jan/2022,"1162100                       ",1000,"BOOKLET        ",70,RQN2201004271
24/Jan/2022,"1101124                       ",1000,"BOOKLET        ",70,RQN2201004271
24/Jan/2022,"1101123                       ",1000,"BOOKLET        ",70,RQN2201004271
24/Jan/2022,"1101151                       ",10000,"SHEET          ",70,RQN2201004271
24/Jan/2022,"1101149                       ",1000,"SHEET          ",70,RQN2201004271
24/Jan/2022,"1414100                       ",2,"DOZEN          ",70,RQN2201004271
24/Jan/2022,"1456100                       ",24,"PIECE          ",70,RQN2201004271
24/Jan/2022,"1407101                       ",24,"BOOKLET        ",70,RQN2201004271
24/Jan/2022,"1411100                       ",6,"PIECE          ",70,RQN2201004271
24/Jan/2022,"1443100                       ",2,"DOZEN          ",70,RQN2201004271
24/Jan/2022,"1457100                       ",100,"PIECE          ",70,RQN2201004271
24/Jan/2022,"1119100                       ",24,"PAD            ",70,RQN2201004271
24/Jan/2022,"1433100                       ",50,"PIECE          ",70,RQN2201004271
