Date,"Item Code",Quantity,UoM,Division,"Req. No."
02/Sep/2021,"1049100                       ",200,"EACH           ",43,RQN2109002364
02/Sep/2021,"1101138                       ",500,"SHEET          ",43,RQN2109002364
02/Sep/2021,"1101151                       ",500,"SHEET          ",43,RQN2109002364
02/Sep/2021,"1101159                       ",5,"PAD            ",43,RQN2109002364
02/Sep/2021,"1101160                       ",5,"PAD            ",43,RQN2109002364
02/Sep/2021,"1106100                       ",20,"BOOKLET        ",43,RQN2109002364
02/Sep/2021,"1106101                       ",20,"BOOKLET        ",43,RQN2109002364
02/Sep/2021,"1113103                       ",1000,"PIECE          ",43,RQN2109002364
02/Sep/2021,"1146100                       ",10,"PIECE          ",43,RQN2109002364
02/Sep/2021,"1150100                       ",5000,"SHEET          ",43,RQN2109002364
02/Sep/2021,"1166100                       ",1000,"SHEET          ",43,RQN2109002364
02/Sep/2021,"1225100                       ",500,"PIECE          ",43,RQN2109002364
02/Sep/2021,"1225101                       ",500,"PIECE          ",43,RQN2109002364
02/Sep/2021,"1225102                       ",500,"PIECE          ",43,RQN2109002364
02/Sep/2021,"1225103                       ",500,"PIECE          ",43,RQN2109002364
02/Sep/2021,"1242100                       ",2,"BOX            ",43,RQN2109002364
02/Sep/2021,"1239100                       ",1,"PAD            ",43,RQN2109002364
02/Sep/2021,"1306100                       ",5,"BOOKLET        ",43,RQN2109002364
02/Sep/2021,"1101106                       ",5,"BOOKLET        ",43,RQN2109002364
02/Sep/2021,"1113102                       ",1,"BOX            ",43,RQN2109002364
02/Sep/2021,"1407100                       ",5,"BOOKLET        ",43,RQN2109002364
02/Sep/2021,"1408100                       ",1,"BOX            ",43,RQN2109002364
02/Sep/2021,"1412100                       ",2,"PIECE          ",43,RQN2109002364
02/Sep/2021,"1426100                       ",10,"PIECE          ",43,RQN2109002364
02/Sep/2021,"1428100                       ",144,"PIECE          ",43,RQN2109002364
02/Sep/2021,"1439101                       ",100,"REAM           ",43,RQN2109002364
02/Sep/2021,"1443100                       ",3,"DOZEN          ",43,RQN2109002364
02/Sep/2021,"1455100                       ",10,"BUNDLE         ",43,RQN2109002364
02/Sep/2021,"1457100                       ",36,"PIECE          ",43,RQN2109002364
02/Sep/2021,"1453100                       ",10,"PIECE          ",43,RQN2109002364
02/Sep/2021,"1467100                       ",20,"PIECE          ",43,RQN2109002364
02/Sep/2021,"BIO-000001                    ",100,,43,RQN2109002364
02/Sep/2021,"1162100                       ",10,"BOOKLET        ",43,RQN2109002364
02/Sep/2021,"1414100                       ",1,"DOZEN          ",43,RQN2109002364
