Date,"Item Code",Quantity,UoM,Division,"Req. No."
04/Dec/2021,"1101138                       ",500,"SHEET          ",64,RQN2112003963
04/Dec/2021,"1101139                       ",500,"SHEET          ",64,RQN2112003963
04/Dec/2021,"1113103                       ",250,"PIECE          ",64,RQN2112003963
04/Dec/2021,"1571010                       ",50,"PIECE          ",64,RQN2112003963
04/Dec/2021,"1433100                       ",5,"PIECE          ",64,RQN2112003963
04/Dec/2021,"1034101                       ",25,"PIECE          ",64,RQN2112003963
04/Dec/2021,"1439101                       ",40,"REAM           ",64,RQN2112003963
04/Dec/2021,"BIO-000001                    ",70,PIECE,64,RQN2112003963
04/Dec/2021,"1428100                       ",144,"PIECE          ",64,RQN2112003963
04/Dec/2021,"1457100                       ",24,"PIECE          ",64,RQN2112003963
04/Dec/2021,"1467100                       ",40,"PIECE          ",64,RQN2112003963
04/Dec/2021,"1453100                       ",5,"PIECE          ",64,RQN2112003963
04/Dec/2021,"1242102                       ",2,"BOX            ",64,RQN2112003963
04/Dec/2021,"1101124                       ",20,"BOOKLET        ",64,RQN2112003963
04/Dec/2021,"1101123                       ",15,"BOOKLET        ",64,RQN2112003963
04/Dec/2021,"1101159                       ",1000,"PAD            ",64,RQN2112003963
04/Dec/2021,"1101160                       ",1000,"PAD            ",64,RQN2112003963
04/Dec/2021,"1166100                       ",500,"SHEET          ",64,RQN2112003963
04/Dec/2021,"1455100                       ",5,"BUNDLE         ",64,RQN2112003963
04/Dec/2021,"1225103                       ",1000,"PIECE          ",64,RQN2112003963
04/Dec/2021,"1225101                       ",500,"PIECE          ",64,RQN2112003963
04/Dec/2021,"1101147                       ",500,"SHEET          ",64,RQN2112003963
04/Dec/2021,"1101151                       ",1000,"SHEET          ",64,RQN2112003963
04/Dec/2021,"1426100                       ",10,"PIECE          ",64,RQN2112003963
04/Dec/2021,"1106101                       ",20,"BOOKLET        ",64,RQN2112003963
