Date,"Item Code",Quantity,UoM,Division,"Req. No."
31/Jan/2022,"1439101                       ",60,"REAM           ",82,RQN2201004320
31/Jan/2022,"1101123                       ",30,"BOOKLET        ",82,RQN2201004320
31/Jan/2022,"1101124                       ",30,"BOOKLET        ",82,RQN2201004320
31/Jan/2022,"1106101                       ",30,"BOOKLET        ",82,RQN2201004320
31/Jan/2022,"1225100                       ",1000,"PIECE          ",82,RQN2201004320
31/Jan/2022,"1225103                       ",2000,"PIECE          ",82,RQN2201004320
31/Jan/2022,"1225101                       ",1000,"PIECE          ",82,RQN2201004320
31/Jan/2022,"1225102                       ",1000,"PIECE          ",82,RQN2201004320
31/Jan/2022,"1455100                       ",5,"BUNDLE         ",82,RQN2201004320
31/Jan/2022,"1101159                       ",3000,"PAD            ",82,RQN2201004320
31/Jan/2022,"1101160                       ",3000,"PAD            ",82,RQN2201004320
31/Jan/2022,"1407100                       ",5,"BOOKLET        ",82,RQN2201004320
31/Jan/2022,"1306100                       ",10,"BOOKLET        ",82,RQN2201004320
31/Jan/2022,"1113103                       ",1000,"PIECE          ",82,RQN2201004320
31/Jan/2022,"1101106                       ",10,"BOOKLET        ",82,RQN2201004320
31/Jan/2022,"1457100                       ",12,"PIECE          ",82,RQN2201004320
31/Jan/2022,"1426100                       ",20,"PIECE          ",82,RQN2201004320
31/Jan/2022,"1456100                       ",12,"PIECE          ",82,RQN2201004320
31/Jan/2022,"1571010                       ",20,"PIECE          ",82,RQN2201004320
31/Jan/2022,"1428100                       ",72,"PIECE          ",82,RQN2201004320
31/Jan/2022,"1152101                       ",1,"BOOKLET        ",82,RQN2201004320
31/Jan/2022,"1423100                       ",10,"PIECE          ",82,RQN2201004320
31/Jan/2022,"1406102                       ",1,"BOOKLET        ",82,RQN2201004320
