Date,"Item Code",Quantity,UoM,Division,"Req. No."
02/Oct/2021,"1025100                       ",3000,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1106101                       ",100,"BOOKLET        ",40,RQN2110002546
02/Oct/2021,"BIO-000001                    ",140,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1152101                       ",2,"BOOKLET        ",40,RQN2110002546
02/Oct/2021,"1150100                       ",10000,"SHEET          ",40,RQN2110002546
02/Oct/2021,"1101159                       ",2000,"PAD            ",40,RQN2110002546
02/Oct/2021,"1101164                       ",2000,"BOOKLET        ",40,RQN2110002546
02/Oct/2021,"1101123                       ",100,"BOOKLET        ",40,RQN2110002546
02/Oct/2021,"1101136                       ",1000,"SHEET          ",40,RQN2110002546
02/Oct/2021,"1101138                       ",1000,"SHEET          ",40,RQN2110002546
02/Oct/2021,"1101151                       ",4000,"SHEET          ",40,RQN2110002546
02/Oct/2021,"1113102                       ",2000,"BOX            ",40,RQN2110002546
02/Oct/2021,"1408100                       ",100,"BOX            ",40,RQN2110002546
02/Oct/2021,"1428100                       ",216,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1225103                       ",4000,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1225101                       ",4000,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1162100                       ",200,"BOOKLET        ",40,RQN2110002546
02/Oct/2021,"1101125                       ",200,"BOOKLET        ",40,RQN2110002546
02/Oct/2021,"1225102                       ",4000,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1412100                       ",5,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1152104                       ",5,"BOOKLET        ",40,RQN2110002546
02/Oct/2021,"1439101                       ",120,"REAM           ",40,RQN2110002546
02/Oct/2021,"1106100                       ",20,"BOOKLET        ",40,RQN2110002546
02/Oct/2021,"1467100                       ",60,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1426100                       ",10,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1455100                       ",10,"BUNDLE         ",40,RQN2110002546
02/Oct/2021,"1101117                       ",5000,"SHEET          ",40,RQN2110002546
02/Oct/2021,"1460100                       ",24,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1242102                       ",5,"BOX            ",40,RQN2110002546
02/Oct/2021,"1242100                       ",5,"BOX            ",40,RQN2110002546
02/Oct/2021,"1113103                       ",3000,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1457100                       ",12,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1459100                       ",5,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1166100                       ",1000,"SHEET          ",40,RQN2110002546
02/Oct/2021,"1049100                       ",10,"EACH           ",40,RQN2110002546
02/Oct/2021,"1034100                       ",200,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1049101                       ",10,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1034101                       ",200,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1414100                       ",12,"DOZEN          ",40,RQN2110002546
02/Oct/2021,"1225102                       ",2000,"PIECE          ",40,RQN2110002546
02/Oct/2021,"1407100                       ",10,"BOOKLET        ",40,RQN2110002546
02/Oct/2021,"1101145                       ",1,"SHEET          ",40,RQN2110002546
02/Oct/2021,"1447100                       ",2,"PIECE          ",40,RQN2110002546
