Date,"Item Code",Quantity,UoM,Division,"Req. No."
23/Oct/2021,"1426100                       ",10,"PIECE          ",64,RQN2110003688
23/Oct/2021,"1101151                       ",1000,"SHEET          ",64,RQN2110003688
23/Oct/2021,"1439101                       ",30,"REAM           ",64,RQN2110003688
23/Oct/2021,"1408100                       ",50,"BOX            ",64,RQN2110003688
23/Oct/2021,"1106101                       ",20,"BOOKLET        ",64,RQN2110003688
23/Oct/2021,"BIO-000001                    ",70,PIECE,64,RQN2110003688
23/Oct/2021,"1428100                       ",144,"PIECE          ",64,RQN2110003688
23/Oct/2021,"1457100                       ",24,"PIECE          ",64,RQN2110003688
23/Oct/2021,"1467100                       ",20,"PIECE          ",64,RQN2110003688
23/Oct/2021,"1242102                       ",2,"BOX            ",64,RQN2110003688
23/Oct/2021,"1242100                       ",1,"BOX            ",64,RQN2110003688
23/Oct/2021,"1242101                       ",1,"BOX            ",64,RQN2110003688
23/Oct/2021,"1101124                       ",20,"BOOKLET        ",64,RQN2110003688
23/Oct/2021,"1101123                       ",20,"BOOKLET        ",64,RQN2110003688
23/Oct/2021,"1101160                       ",1000,"PAD            ",64,RQN2110003688
23/Oct/2021,"1166100                       ",500,"SHEET          ",64,RQN2110003688
23/Oct/2021,"1455100                       ",5,"BUNDLE         ",64,RQN2110003688
23/Oct/2021,"1414100                       ",6,"DOZEN          ",64,RQN2110003688
23/Oct/2021,"1225103                       ",1000,"PIECE          ",64,RQN2110003688
23/Oct/2021,"1225100                       ",500,"PIECE          ",64,RQN2110003688
23/Oct/2021,"1225101                       ",500,"PIECE          ",64,RQN2110003688
23/Oct/2021,"1101164                       ",500,"BOOKLET        ",64,RQN2110003688
23/Oct/2021,"1433100                       ",8,"PIECE          ",64,RQN2110003688
23/Oct/2021,"1034101                       ",10,"PIECE          ",64,RQN2110003688
