Date,"Item Code",Quantity,UoM,Division,"Req. No."
04/Aug/2021,"1034100                       ",100,"PIECE          ",95,RQN21082149
04/Aug/2021,"1225103                       ",1000,"PIECE          ",95,RQN21082149
04/Aug/2021,"BIO-000001                    ",100,"PIECE          ",95,RQN21082149
04/Aug/2021,"1101151                       ",1500,"SHEET          ",95,RQN21082149
04/Aug/2021,"1101164                       ",1000,"BOOKLET        ",95,RQN21082149
04/Aug/2021,"1242102                       ",5,"BOX            ",95,RQN21082149
04/Aug/2021,"1242100                       ",3,"BOX            ",95,RQN21082149
04/Aug/2021,"1428100                       ",4,"BOXES          ",95,RQN21082149
04/Aug/2021,"1467100                       ",12,"BOXES        ",95,RQN21082149
04/Aug/2021,"1150100                       ",1000,"SHEET          ",95,RQN21082149
04/Aug/2021,"1166100                       ",1500,"SHEET          ",95,RQN21082149
04/Aug/2021,"1101117                       ",1000,"SHEET          ",95,RQN21082149
04/Aug/2021,"1443100                       ",2,"DOZEN          ",95,RQN21082149
04/Aug/2021,"1225102                       ",1000,"PIECE          ",95,RQN21082149
04/Aug/2021,"1457100                       ",36,"PIECE          ",95,RQN21082149
04/Aug/2021,"1414100                       ",1,"DOZEN          ",95,RQN21082149
04/Aug/2021,"1113103                       ",2000,"PIECE          ",95,RQN21082149
04/Aug/2021,"1408100                       ",5,"BOX            ",95,RQN21082149
04/Aug/2021,"1433100                       ",12,"PIECE          ",95,RQN21082149
04/Aug/2021,"1439101                       ",180,"REAM           ",95,RQN21082149
04/Aug/2021,"1101107                       ",500,"SHEET          ",95,RQN21082149
04/Aug/2021,"1571004                       ",2,"BOXES          ",95,RQN21082149
04/Aug/2021,"1034101                       ",100,"PIECE          ",95,RQN21082149
04/Aug/2021,"1459100                       ",5,"PIECE          ",95,RQN21082149
04/Aug/2021,"1455100                       ",5,"BUNDLE         ",95,RQN21082149
04/Aug/2021,"1460100                       ",1,"PIECE          ",95,RQN21082149
04/Aug/2021,"1407100                       ",5,"BOOKLET        ",95,RQN21082149
04/Aug/2021,"1456100                       ",5,"PIECE          ",95,RQN21082149
