Date,"Item Code",Quantity,UoM,Division,"Req. No."
14/Oct/2021,"1004101                       ",50,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1034100                       ",5000,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1034101                       ",5000,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1101129                       ",250,"SHEET          ",20,RQN2110003633
14/Oct/2021,"1101159                       ",5000,"PAD            ",20,RQN2110003633
14/Oct/2021,"1101160                       ",5000,"PAD            ",20,RQN2110003633
14/Oct/2021,"1113103                       ",5000,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1150100                       ",10000,"SHEET          ",20,RQN2110003633
14/Oct/2021,"1162100                       ",5000,"BOOKLET        ",20,RQN2110003633
14/Oct/2021,"1101164                       ",500,"BOOKLET        ",20,RQN2110003633
14/Oct/2021,"1225101                       ",5000,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1166100                       ",5000,"SHEET          ",20,RQN2110003633
14/Oct/2021,"1225103                       ",10000,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1407100                       ",24,"BOOKLET        ",20,RQN2110003633
14/Oct/2021,"1407101                       ",48,"BOOKLET        ",20,RQN2110003633
14/Oct/2021,"1408100                       ",2,"BOX            ",20,RQN2110003633
14/Oct/2021,"1242101                       ",3,"BOX            ",20,RQN2110003633
14/Oct/2021,"1242100                       ",3,"BOX            ",20,RQN2110003633
14/Oct/2021,"1306100                       ",36,"BOOKLET        ",20,RQN2110003633
14/Oct/2021,"1412100                       ",24,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1455100                       ",20,"BUNDLE         ",20,RQN2110003633
14/Oct/2021,"1414100                       ",2,"DOZEN          ",20,RQN2110003633
14/Oct/2021,"1428100                       ",144,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1439101                       ",120,"REAM           ",20,RQN2110003633
14/Oct/2021,"1433100                       ",36,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1443100                       ",3,"DOZEN          ",20,RQN2110003633
14/Oct/2021,"1457100                       ",48,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1571025                       ",40,"LITRES         ",20,RQN2110003633
14/Oct/2021,"1467100                       ",48,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1571014                       ",7000,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1467101                       ",24,"PIECE          ",20,RQN2110003633
14/Oct/2021,"1106101                       ",40,"BOOKLET        ",20,RQN2110003633
14/Oct/2021,"1239100                       ",500,"PAD            ",20,RQN2110003633
