Date,"Item Code",Quantity,UoM,Division,"Req. No."
01/Oct/2021,"1433100                       ",10,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1428100                       ",144,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1408100                       ",50,"BOX            ",90,RQN2110002526
01/Oct/2021,"1460100                       ",5,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1242102                       ",4,"BOX            ",90,RQN2110002526
01/Oct/2021,"1242101                       ",4,"BOX            ",90,RQN2110002526
01/Oct/2021,"1242100                       ",2,"BOX            ",90,RQN2110002526
01/Oct/2021,"1443100                       ",2,"DOZEN          ",90,RQN2110002526
01/Oct/2021,"1150101                       ",25,"BOOKLET        ",90,RQN2110002526
01/Oct/2021,"1101151                       ",10000,"SHEET          ",90,RQN2110002526
01/Oct/2021,"1455100                       ",6,"BUNDLE         ",90,RQN2110002526
01/Oct/2021,"1225101                       ",1000,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1225102                       ",1000,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1225103                       ",1000,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1152104                       ",10,"BOOKLET        ",90,RQN2110002526
01/Oct/2021,"BIO-000001                    ",72,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1407100                       ",6,"PIECE      ",90,RQN2110002526
01/Oct/2021,"1456100                       ",4,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1034100                       ",50,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1467100                       ",40,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1439101                       ",60,"REAM           ",90,RQN2110002526
01/Oct/2021,"1414100                       ",2,"DOZEN          ",90,RQN2110002526
01/Oct/2021,"1113103                       ",10000,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1457100                       ",2,"DOZEN         ",90,RQN2110002526
01/Oct/2021,"1426100                       ",12,"PIECE          ",90,RQN2110002526
01/Oct/2021,"1571014                       ",100,"PIECE          ",90,RQN2110002526
