Date,"Item Code",Quantity,UoM,Division,"Req. No."
29/Oct/2021,"1439101                       ",40,"REAM           ",74,RQN2110003729
29/Oct/2021,"1408100                       ",1,"BOX            ",74,RQN2110003729
29/Oct/2021,"1428100                       ",72,"PIECE          ",74,RQN2110003729
29/Oct/2021,"1150100                       ",5,"SHEET          ",74,RQN2110003729
29/Oct/2021,"1106101                       ",20,"BOOKLET        ",74,RQN2110003729
29/Oct/2021,"1162100                       ",20,"BOOKLET        ",74,RQN2110003729
29/Oct/2021,"1101124                       ",20,"BOOKLET        ",74,RQN2110003729
29/Oct/2021,"1101148                       ",2,"SHEET          ",74,RQN2110003729
29/Oct/2021,"1225103                       ",500,"PIECE          ",74,RQN2110003729
29/Oct/2021,"1225101                       ",500,"PIECE          ",74,RQN2110003729
29/Oct/2021,"1152104                       ",12,"BOOKLET        ",74,RQN2110003729
29/Oct/2021,"1433100                       ",10,"PIECE          ",74,RQN2110003729
29/Oct/2021,"1242102                       ",2,"BOX            ",74,RQN2110003729
29/Oct/2021,"1242101                       ",2,"BOX            ",74,RQN2110003729
29/Oct/2021,"1113103                       ",500,"PIECE          ",74,RQN2110003729
29/Oct/2021,"1101159                       ",3,"PAD            ",74,RQN2110003729
29/Oct/2021,"1101160                       ",3,"PAD            ",74,RQN2110003729
29/Oct/2021,"1407100                       ",5,"BOOKLET        ",74,RQN2110003729
29/Oct/2021,"1457100                       ",12,"PIECE          ",74,RQN2110003729
29/Oct/2021,"1460100                       ",8,"PIECE          ",74,RQN2110003729
29/Oct/2021,"1467100                       ",40,"PIECE          ",74,RQN2110003729
29/Oct/2021,"1455100                       ",4,"BUNDLE         ",74,RQN2110003729
29/Oct/2021,"1414100                       ",1,"DOZEN          ",74,RQN2110003729
29/Oct/2021,"1301100                       ",3,"BOOKLET        ",74,RQN2110003729
29/Oct/2021,"BIO-000001                    ",20,"PIECE          ",74,RQN2110003729
