Date,"Item Code",Quantity,UoM,Division,"Req. No."
28/Sep/2021,"1034100                       ",100,"PIECE          ",75,RQN2109002519
28/Sep/2021,"1034101                       ",100,"PIECE          ",75,RQN2109002519
28/Sep/2021,"1106101                       ",100,"BOOKLET        ",75,RQN2109002519
28/Sep/2021,"1439101                       ",60,"REAM           ",75,RQN2109002519
28/Sep/2021,"1414100                       ",10,"DOZEN          ",75,RQN2109002519
28/Sep/2021,"1162100                       ",60,"BOOKLET        ",75,RQN2109002519
28/Sep/2021,"1101125                       ",60,"BOOKLET        ",75,RQN2109002519
28/Sep/2021,"1101124                       ",60,"BOOKLET        ",75,RQN2109002519
28/Sep/2021,"1225103                       ",2000,"PIECE          ",75,RQN2109002519
28/Sep/2021,"1225101                       ",2000,"PIECE          ",75,RQN2109002519
28/Sep/2021,"1467100                       ",60,"PIECE          ",75,RQN2109002519
28/Sep/2021,"1242102                       ",4,"BOX            ",75,RQN2109002519
28/Sep/2021,"1242100                       ",2,"BOX            ",75,RQN2109002519
28/Sep/2021,"1407100                       ",10,"BOOKLET        ",75,RQN2109002519
28/Sep/2021,"1428100                       ",144,"PIECE          ",75,RQN2109002519
28/Sep/2021,"1408100                       ",50,"BOX            ",75,RQN2109002519
28/Sep/2021,"1457100                       ",24,"PIECE          ",75,RQN2109002519
28/Sep/2021,"1407101                       ",1,"BOOKLET        ",75,RQN2109002519
28/Sep/2021,"1455100                       ",10,"BUNDLE         ",75,RQN2109002519
28/Sep/2021,"1113103                       ",2000,"PIECE          ",75,RQN2109002519
28/Sep/2021,"1225102                       ",1000,"PIECE          ",75,RQN2109002519
28/Sep/2021,"1443100                       ",24,"DOZEN          ",75,RQN2109002519
28/Sep/2021,"1432100                       ",24,"PIECE          ",75,RQN2109002519
