Date,"Item Code",Quantity,UoM,Division,"Req. No."
06/Jan/2022,"1439101                       ",100,"REAM           ",52,RQN2201004162
06/Jan/2022,"1433100                       ",24,"PIECE          ",52,RQN2201004162
06/Jan/2022,"1455100                       ",16,"BUNDLE         ",52,RQN2201004162
06/Jan/2022,"1106101                       ",40,"BOOKLET        ",52,RQN2201004162
06/Jan/2022,"1101123                       ",40,"BOOKLET        ",52,RQN2201004162
06/Jan/2022,"1408100                       ",50,"BOX            ",52,RQN2201004162
06/Jan/2022,"1428100                       ",144,"PIECE          ",52,RQN2201004162
06/Jan/2022,"1407100                       ",5,"BOOKLET        ",52,RQN2201004162
06/Jan/2022,"1225103                       ",500,"PIECE          ",52,RQN2201004162
06/Jan/2022,"1414100                       ",12,"DOZEN          ",52,RQN2201004162
06/Jan/2022,"1242102                       ",2,"BOX            ",52,RQN2201004162
06/Jan/2022,"1467100                       ",48,"PIECE          ",52,RQN2201004162
06/Jan/2022,"1150100                       ",3000,"SHEET          ",52,RQN2201004162
06/Jan/2022,"1049103                       ",5,"PIECE          ",52,RQN2201004162
06/Jan/2022,"1306100                       ",5,"BOOKLET        ",52,RQN2201004162
06/Jan/2022,"1162100                       ",20,"BOOKLET        ",52,RQN2201004162
06/Jan/2022,"1426100                       ",24,"PIECE          ",52,RQN2201004162
06/Jan/2022,"1537100                       ",5,"PIECE          ",52,RQN2201004162
06/Jan/2022,"1101151                       ",1,"SHEET          ",52,RQN2201004162
06/Jan/2022,"1146100                       ",1,"PIECE          ",52,RQN2201004162
06/Jan/2022,"1152101                       ",2,"BOOKLET        ",52,RQN2201004162
06/Jan/2022,"1225101                       ",500,"PIECE          ",52,RQN2201004162
06/Jan/2022,"1443100                       ",12,"DOZEN          ",52,RQN2201004162
06/Jan/2022,"1152106                       ",5,"BOOKLET        ",52,RQN2201004162
