Date,"Item Code",Quantity,UoM,Division,"Req. No."
29/Oct/2021,"1439101                       ",60,"REAM           ",48,RQN2110003725
29/Oct/2021,"1408100                       ",100,"PIECE        ",48,RQN2110003725
29/Oct/2021,"1428100                       ",144,"PIECE          ",48,RQN2110003725
29/Oct/2021,"BIO-000001                    ",50,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1034100                       ",150,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1571014                       ",500,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1106101                       ",40,"BOOKLET        ",48,RQN2110003725
29/Oct/2021,"1242102                       ",5,"BOX            ",48,RQN2110003725
29/Oct/2021,"1113102                       ",1500,"BOX            ",48,RQN2110003725
29/Oct/2021,"1467100                       ",36,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1443100                       ",24,"PIECE         ",48,RQN2110003725
29/Oct/2021,"1432100                       ",24,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1457100                       ",36,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1146100                       ",10,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1152104                       ",10,"BOOKLET        ",48,RQN2110003725
29/Oct/2021,"1414100                       ",12,"PIECE        ",48,RQN2110003725
29/Oct/2021,"1455100                       ",6,"BUNDLE         ",48,RQN2110003725
29/Oct/2021,"1113103                       ",1000,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1101164                       ",2000,"PIECE       ",48,RQN2110003725
29/Oct/2021,"1162100                       ",40,"BOOKLET        ",48,RQN2110003725
29/Oct/2021,"1150100                       ",5000,"SHEET          ",48,RQN2110003725
29/Oct/2021,"1225103                       ",1500,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1412100                       ",200,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1433102                       ",10,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1426100                       ",5,"PIECE          ",48,RQN2110003725
29/Oct/2021,"1460100                       ",20,"PIECE          ",48,RQN2110003725
