Date,"Item Code",Quantity,UoM,Division,"Req. No."
21/Aug/2021,"1101151                       ",1000,"SHEET          ",67,RQN2108002274
21/Aug/2021,"1152101                       ",1,"BOOKLET        ",67,RQN2108002274
21/Aug/2021,"1034100                       ",500,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1049100                       ",5,"EACH           ",67,RQN2108002274
21/Aug/2021,"1004100                       ",200,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1408100                       ",500,"BOX            ",67,RQN2108002274
21/Aug/2021,"1152104                       ",10,"BOOKLET        ",67,RQN2108002274
21/Aug/2021,"1119100                       ",20,"PAD            ",67,RQN2108002274
21/Aug/2021,"1407100                       ",5,"BOOKLET        ",67,RQN2108002274
21/Aug/2021,"1162100                       ",100,"BOOKLET        ",67,RQN2108002274
21/Aug/2021,"1225103                       ",2000,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1225101                       ",2000,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1225102                       ",1000,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1225100                       ",500,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1301100                       ",10,"BOOKLET        ",67,RQN2108002274
21/Aug/2021,"1447100                       ",5,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1242102                       ",5,"BOX            ",67,RQN2108002274
21/Aug/2021,"1242100                       ",2,"BOX            ",67,RQN2108002274
21/Aug/2021,"1439101                       ",100,"REAM           ",67,RQN2108002274
21/Aug/2021,"1455100                       ",20,"BUNDLE         ",67,RQN2108002274
21/Aug/2021,"1101106                       ",10,"BOOKLET        ",67,RQN2108002274
21/Aug/2021,"1428100                       ",144,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1459100                       ",5,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1467100                       ",50,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1101159                       ",10,"PAD            ",67,RQN2108002274
21/Aug/2021,"1113103                       ",5000,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1166100                       ",10,"SHEET          ",67,RQN2108002274
21/Aug/2021,"BIO-000001                    ",500,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1457100                       ",50,"PIECE          ",67,RQN2108002274
21/Aug/2021,"1571014                       ",5000,"PIECE          ",67,RQN2108002274
