Date,"Item Code",Quantity,UoM,Division,"Req. No."
04/Sep/2021,"1439101                       ",120,"REAM           ",35,RQN2109002318
04/Sep/2021,"1101160                       ",100,"PAD            ",35,RQN2109002318
04/Sep/2021,"1101159                       ",100,"PAD            ",35,RQN2109002318
04/Sep/2021,"1101148                       ",2000,"SHEET          ",35,RQN2109002318
04/Sep/2021,"1101147                       ",2000,"SHEET          ",35,RQN2109002318
04/Sep/2021,"1101151                       ",2000,"SHEET          ",35,RQN2109002318
04/Sep/2021,"1150100                       ",10000,"SHEET          ",35,RQN2109002318
04/Sep/2021,"1407100                       ",10,"BOOKLET        ",35,RQN2109002318
04/Sep/2021,"1225103                       ",2000,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1225101                       ",2000,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1225100                       ",2000,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1225102                       ",1000,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1242102                       ",4,"BOX            ",35,RQN2109002318
04/Sep/2021,"1242100                       ",2,"BOX            ",35,RQN2109002318
04/Sep/2021,"1432100                       ",48,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1455100                       ",4,"BUNDLE         ",35,RQN2109002318
04/Sep/2021,"1467100                       ",100,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1428100                       ",288,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1408100                       ",50,"BOX            ",35,RQN2109002318
04/Sep/2021,"1443100                       ",48,"DOZEN          ",35,RQN2109002318
04/Sep/2021,"BIO-000001                    ",140,,35,RQN2109002318
04/Sep/2021,"1407101                       ",12,"BOOKLET        ",35,RQN2109002318
04/Sep/2021,"1457100                       ",24,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1459100                       ",5,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1113103                       ",2000,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1433100                       ",5,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1166100                       ",2000,"SHEET          ",35,RQN2109002318
04/Sep/2021,"1101124                       ",10000,"BOOKLET        ",35,RQN2109002318
04/Sep/2021,"1101123                       ",10000,"BOOKLET        ",35,RQN2109002318
04/Sep/2021,"1162100                       ",100,"BOOKLET        ",35,RQN2109002318
04/Sep/2021,"1537100                       ",10,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1435100                       ",5,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1571020                       ",5,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1136100                       ",100,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1412100                       ",100,"PIECE          ",35,RQN2109002318
04/Sep/2021,"1426100                       ",100,"PIECE          ",35,RQN2109002318
