Date,"Item Code",Quantity,UoM,Division,"Req. No."
04/Aug/2021,"1439101                       ",60,"REAM           ",31,RQN210800003
04/Aug/2021,"1408100                       ",100,"BOX            ",31,RQN210800003
04/Aug/2021,"1150100                       ",3000,"SHEET          ",31,RQN210800003
04/Aug/2021,"1034100                       ",150,"PIECE          ",31,RQN210800003
04/Aug/2021,"1225100                       ",1000,"PIECE          ",31,RQN210800003
04/Aug/2021,"1225103                       ",1000,"PIECE          ",31,RQN210800003
04/Aug/2021,"1225101                       ",1000,"PIECE          ",31,RQN210800003
04/Aug/2021,"1467100                       ",40,"PIECE          ",31,RQN210800003
04/Aug/2021,"1443100                       ",12,"DOZEN          ",31,RQN210800003
04/Aug/2021,"1459100                       ",3,"PIECE          ",31,RQN210800003
04/Aug/2021,"1101160                       ",4000,"PAD            ",31,RQN210800003
04/Aug/2021,"1166100                       ",1000,"SHEET          ",31,RQN210800003
04/Aug/2021,"1113103                       ",5000,"PIECE          ",31,RQN210800003
04/Aug/2021,"1101123                       ",20,"BOOKLET        ",31,RQN210800003
04/Aug/2021,"1428100                       ",72,"PIECE          ",31,RQN210800003
04/Aug/2021,"1455100                       ",10,"BUNDLE         ",31,RQN210800003
04/Aug/2021,"1242102                       ",2,"BOX            ",31,RQN210800003
04/Aug/2021,"1242100                       ",2,"BOX            ",31,RQN210800003
04/Aug/2021,"1101151                       ",5000,"SHEET          ",31,RQN210800003
04/Aug/2021,"1571005                       ",3000,"SHEET          ",31,RQN210800003
04/Aug/2021,"1101147                       ",5000,"SHEET          ",31,RQN210800003
04/Aug/2021,"1460100                       ",1,"PIECE          ",31,RQN210800003
04/Aug/2021,"1101164                       ",12,"BOOKLET        ",31,RQN210800003
04/Aug/2021,"1414100                       ",6,"DOZEN          ",31,RQN210800003
04/Aug/2021,"1049100                       ",12,"EACH           ",31,RQN210800003
04/Aug/2021,"1101121                       ",8,"ROLL           ",31,RQN210800003
04/Aug/2021,"1101122                       ",5,"ROLL           ",31,RQN210800003
04/Aug/2021,"1571009                       ",8,"ROLL           ",31,RQN210800003
04/Aug/2021,"1457101                       ",5,"ROLL           ",31,RQN210800003
