Date,"Item Code",Quantity,UoM,Division,"Req. No."
20/Sep/2021,"1439101                       ",60,"REAM           ",46,RQN2109002472
20/Sep/2021,"1443100                       ",24,"DOZEN          ",46,RQN2109002472
20/Sep/2021,"1467100                       ",60,"PIECE          ",46,RQN2109002472
20/Sep/2021,"1460100                       ",24,"PIECE          ",46,RQN2109002472
20/Sep/2021,"1414100                       ",20,"DOZEN          ",46,RQN2109002472
20/Sep/2021,"1101123                       ",200,"BOOKLET        ",46,RQN2109002472
20/Sep/2021,"1113103                       ",5000,"PIECE          ",46,RQN2109002472
20/Sep/2021,"1408100                       ",110,"BOX            ",46,RQN2109002472
20/Sep/2021,"1455100                       ",10,"BUNDLE         ",46,RQN2109002472
20/Sep/2021,"1106101                       ",100,"BOOKLET        ",46,RQN2109002472
20/Sep/2021,"1432100                       ",12,"PIECE          ",46,RQN2109002472
20/Sep/2021,"1433100                       ",60,"PIECE          ",46,RQN2109002472
20/Sep/2021,"1242102                       ",10,"BOX            ",46,RQN2109002472
20/Sep/2021,"1242100                       ",50,"BOX            ",46,RQN2109002472
20/Sep/2021,"1101123                       ",150,"BOOKLET        ",46,RQN2109002472
20/Sep/2021,"1101164                       ",10000,"BOOKLET        ",46,RQN2109002472
20/Sep/2021,"1152104                       ",10,"BOOKLET        ",46,RQN2109002472
20/Sep/2021,"1225103                       ",6000,"PIECE          ",46,RQN2109002472
20/Sep/2021,"1225102                       ",6000,"PIECE          ",46,RQN2109002472
20/Sep/2021,"1225101                       ",6000,"PIECE          ",46,RQN2109002472
20/Sep/2021,"1152101                       ",4,"BOOKLET        ",46,RQN2109002472
20/Sep/2021,"1428100                       ",144,"PIECE          ",46,RQN2109002472
