Date,"Item Code",Quantity,UoM,Division,"Req. No."
20/Nov/2021,"1101125                       ",25,"BOOKLET        ",28,RQN2111003857
20/Nov/2021,"1455100                       ",2,"BUNDLE         ",28,RQN2111003857
20/Nov/2021,"1408100                       ",50,"BOX            ",28,RQN2111003857
20/Nov/2021,"1460100                       ",5,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1457100                       ",10,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1433100                       ",5,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1467100                       ",40,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1459100                       ",5,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1447100                       ",5,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1443100                       ",2,"DOZEN          ",28,RQN2111003857
20/Nov/2021,"1428100                       ",150,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1225100                       ",500,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1225101                       ",250,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1225103                       ",500,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1025100                       ",100,"PIECE          ",28,RQN2111003857
20/Nov/2021,"BIO-000001                    ",100,"BOX            ",28,RQN2111003857
20/Nov/2021,"1242101                       ",5,"BOX            ",28,RQN2111003857
20/Nov/2021,"1242102                       ",5,"BOX            ",28,RQN2111003857
20/Nov/2021,"1242100                       ",5,"BOX            ",28,RQN2111003857
20/Nov/2021,"1166100                       ",1000,"SHEET          ",28,RQN2111003857
20/Nov/2021,"1146100                       ",5,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1113103                       ",1000,"PIECE          ",28,RQN2111003857
20/Nov/2021,"1152101                       ",2,"BOOKLET        ",28,RQN2111003857
20/Nov/2021,"1101123                       ",25,"BOOKLET        ",28,RQN2111003857
20/Nov/2021,"1101124                       ",25,"BOOKLET        ",28,RQN2111003857
20/Nov/2021,"1101164                       ",2,"BOOKLET        ",28,RQN2111003857
20/Nov/2021,"1439101                       ",120,"REAM           ",28,RQN2111003857
