Date,"Item Code",Quantity,UoM,Division,"Req. No."
30/Aug/2021,"1439101                       ",100,"REAM           ",60,RQN2108002287
30/Aug/2021,"1455100                       ",10,"BUNDLE         ",60,RQN2108002287
30/Aug/2021,"1242102                       ",5,"BOX            ",60,RQN2108002287
30/Aug/2021,"BIO-000001                    ",100,PEICE,60,RQN2108002287
30/Aug/2021,"1162100                       ",20,"BOOKLET        ",60,RQN2108002287
30/Aug/2021,"1034100                       ",100,"PIECE          ",60,RQN2108002287
30/Aug/2021,"1106101                       ",50,"BOOKLET        ",60,RQN2108002287
30/Aug/2021,"1428100                       ",144,"PIECE          ",60,RQN2108002287
30/Aug/2021,"1426100                       ",14,"PIECE          ",60,RQN2108002287
30/Aug/2021,"1443100                       ",2,"DOZEN          ",60,RQN2108002287
30/Aug/2021,"1457100                       ",24,"PIECE          ",60,RQN2108002287
30/Aug/2021,"1467100                       ",40,"PIECE          ",60,RQN2108002287
30/Aug/2021,"1414100                       ",12,"PIECE        ",60,RQN2108002287
30/Aug/2021,"1113103                       ",1000,"PIECE          ",60,RQN2108002287
30/Aug/2021,"1460100                       ",12,"PIECE          ",60,RQN2108002287
30/Aug/2021,"1433100                       ",12,"PIECE          ",60,RQN2108002287
30/Aug/2021,"1101164                       ",5,"BOOKLET        ",60,RQN2108002287
30/Aug/2021,"1101165                       ",3,"BOOKLET        ",60,RQN2108002287
30/Aug/2021,"1571025                       ",100,"LITRES         ",60,RQN2108002287
30/Aug/2021,"1408100                       ",1,"BOX            ",60,RQN2108002287
30/Aug/2021,"1571005                       ",5000,"SHEET          ",60,RQN2108002287
30/Aug/2021,"1150100                       ",5000,"SHEET          ",60,RQN2108002287
30/Aug/2021,"1407100                       ",5,"BOOKLET        ",60,RQN2108002287
30/Aug/2021,"1101124                       ",10,"BOOKLET        ",60,RQN2108002287
30/Aug/2021,"1101123                       ",10,"BOOKLET        ",60,RQN2108002287
