Date,"Item Code",Quantity,UoM,Division,"Req. No."
21/Sep/2021,"1049100                       ",100,"EACH           ",38,RQN2109002486
21/Sep/2021,"1101160                       ",5000,"PAD            ",38,RQN2109002486
21/Sep/2021,"1106101                       ",100,"BOOKLET        ",38,RQN2109002486
21/Sep/2021,"1101165                       ",100,"BOOKLET        ",38,RQN2109002486
21/Sep/2021,"1113103                       ",5000,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1150100                       ",5000,"SHEET          ",38,RQN2109002486
21/Sep/2021,"1166100                       ",20000,"SHEET          ",38,RQN2109002486
21/Sep/2021,"1152101                       ",2,"BOOKLET        ",38,RQN2109002486
21/Sep/2021,"1225100                       ",500,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1225101                       ",500,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1225102                       ",500,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1225103                       ",500,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1242100                       ",5,"BOX            ",38,RQN2109002486
21/Sep/2021,"1242101                       ",5,"BOX            ",38,RQN2109002486
21/Sep/2021,"1242102                       ",5,"BOX            ",38,RQN2109002486
21/Sep/2021,"1408100                       ",50,"BOX            ",38,RQN2109002486
21/Sep/2021,"1428100                       ",144,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1439101                       ",100,"REAM           ",38,RQN2109002486
21/Sep/2021,"1455100                       ",5,"BUNDLE         ",38,RQN2109002486
21/Sep/2021,"1510101                       ",20,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1571014                       ",500,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1136100                       ",140,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1467100                       ",50,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1460100                       ",10,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1459100                       ",5,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1443100                       ",12,"DOZEN          ",38,RQN2109002486
21/Sep/2021,"1049103                       ",3,"PIECE          ",38,RQN2109002486
21/Sep/2021,"1418100                       ",10,"BOX            ",38,RQN2109002486
21/Sep/2021,"1418100                       ",10,"BOX            ",38,RQN2109002486
